====== He (1780keV) into Skin                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 1780 keV
============= TARGET MATERIAL ======================================
Layer 1 : Skin_Human (W&W type 1)
Layer Width = 20000,E+01 A ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
====================================================================
 Total Ions calculated =005031,00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200001,E-02  2943,79E-02  1401,51E-05
400001,E-02  2989,68E-02  6634,99E-06
600001,E-02  3048,02E-02  7531,29E-06
800001,E-02  3102,19E-02  2108,78E-05
100000,E-01  3159,10E-02  6253,66E-06
120000,E-01  3224,66E-02  6850,24E-06
140000,E-01  3293,94E-02  1158,40E-05
160000,E-01  3370,81E-02  3860,72E-05
180000,E-01  3430,83E-02  9449,05E-06
200000,E-01  3506,72E-02  1419,71E-05
220000,E-01  3582,46E-02  6534,51E-05
240000,E-01  3661,64E-02  1115,25E-05
260000,E-01  3744,02E-02  1230,88E-05
280000,E-01  3819,55E-02  1104,58E-05
300000,E-01  3882,05E-02  1242,99E-05
320000,E-01  3932,33E-02  3957,09E-05
340000,E-01  3957,67E-02  1459,98E-05
360000,E-01  3951,47E-02  2820,28E-05
380000,E-01  3887,13E-02  2251,20E-05
400000,E-01  3760,17E-02  3507,71E-05
420000,E-01  3559,24E-02  5330,08E-05
440000,E-01  3273,86E-02  4875,47E-05
460000,E-01  2937,38E-02  8589,00E-05
480000,E-01  2549,70E-02  9575,13E-05
500000,E-01  2122,80E-02  1329,84E-04
520000,E-01  1666,07E-02  1843,65E-04
540000,E-01  1169,54E-02  2575,31E-04
560000,E-01  6334,52E-03  2912,38E-04
580000,E-01  2387,39E-03  1981,70E-04
600000,E-01  5478,03E-04  6566,70E-05
620000,E-01  9220,93E-05  1153,39E-05
640000,E-01  1438,07E-05  1744,07E-06
660000,E-01  4509,31E-06  3595,04E-07
680000,E-01  1563,68E-06  4117,39E-09
700000,E-01  1351,18E-06  8957,22E-09
720000,E-01  9834,26E-07  1593,47E-08
740000,E-01  3467,80E-07  7209,24E-08
760000,E-01  0000,00E+00  0000,00E+00
780000,E-01  0000,00E+00  0000,00E+00
800000,E-01  0000,00E+00  0000,00E+00
820000,E-01  0000,00E+00  0000,00E+00
840000,E-01  0000,00E+00  0000,00E+00
860000,E-01  0000,00E+00  0000,00E+00
880000,E-01  0000,00E+00  0000,00E+00
900000,E-01  0000,00E+00  0000,00E+00
920000,E-01  0000,00E+00  0000,00E+00
940000,E-01  0000,00E+00  0000,00E+00
960000,E-01  0000,00E+00  0000,00E+00
980000,E-01  0000,00E+00  0000,00E+00
100000,E+00  0000,00E+00  0000,00E+00
102000,E+00  0000,00E+00  0000,00E+00
104000,E+00  0000,00E+00  0000,00E+00
106000,E+00  0000,00E+00  0000,00E+00
108000,E+00  0000,00E+00  0000,00E+00
110000,E+00  0000,00E+00  0000,00E+00
112000,E+00  0000,00E+00  0000,00E+00
114000,E+00  0000,00E+00  0000,00E+00
116000,E+00  0000,00E+00  0000,00E+00
118000,E+00  0000,00E+00  0000,00E+00
120000,E+00  0000,00E+00  0000,00E+00
122000,E+00  0000,00E+00  0000,00E+00
124000,E+00  0000,00E+00  0000,00E+00
126000,E+00  0000,00E+00  0000,00E+00
128000,E+00  0000,00E+00  0000,00E+00
130000,E+00  0000,00E+00  0000,00E+00
132000,E+00  0000,00E+00  0000,00E+00
134000,E+00  0000,00E+00  0000,00E+00
136000,E+00  0000,00E+00  0000,00E+00
138000,E+00  0000,00E+00  0000,00E+00
140000,E+00  0000,00E+00  0000,00E+00
142000,E+00  0000,00E+00  0000,00E+00
144000,E+00  0000,00E+00  0000,00E+00
146000,E+00  0000,00E+00  0000,00E+00
148000,E+00  0000,00E+00  0000,00E+00
150000,E+00  0000,00E+00  0000,00E+00
152000,E+00  0000,00E+00  0000,00E+00
154000,E+00  0000,00E+00  0000,00E+00
156000,E+00  0000,00E+00  0000,00E+00
158000,E+00  0000,00E+00  0000,00E+00
160000,E+00  0000,00E+00  0000,00E+00
162000,E+00  0000,00E+00  0000,00E+00
164000,E+00  0000,00E+00  0000,00E+00
166000,E+00  0000,00E+00  0000,00E+00
168000,E+00  0000,00E+00  0000,00E+00
170000,E+00  0000,00E+00  0000,00E+00
172000,E+00  0000,00E+00  0000,00E+00
174000,E+00  0000,00E+00  0000,00E+00
176000,E+00  0000,00E+00  0000,00E+00
178000,E+00  0000,00E+00  0000,00E+00
180000,E+00  0000,00E+00  0000,00E+00
182000,E+00  0000,00E+00  0000,00E+00
184000,E+00  0000,00E+00  0000,00E+00
186000,E+00  0000,00E+00  0000,00E+00
188000,E+00  0000,00E+00  0000,00E+00
