====== lithium(1010keV) in skin (20um)          =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Li   Energy = 1010 keV
============= TARGET MATERIAL ======================================
Layer 1 : Skin_Human (W&W type 1)
Layer Width = 20000,E+01 A ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
====================================================================
 Total Ions calculated =005000,00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200001,E-02  3881,64E-02  7028,37E-05
400001,E-02  3795,49E-02  4973,56E-05
600001,E-02  3697,07E-02  7827,09E-05
800001,E-02  3580,13E-02  1624,71E-04
100000,E-01  3444,57E-02  5396,32E-05
120000,E-01  3287,56E-02  6290,61E-05
140000,E-01  3119,58E-02  5772,26E-05
160000,E-01  2930,94E-02  8003,33E-05
180000,E-01  2735,28E-02  8789,84E-05
200000,E-01  2533,78E-02  1390,96E-04
220000,E-01  2322,07E-02  9192,44E-05
240000,E-01  2126,12E-02  1221,21E-04
260000,E-01  1929,79E-02  1162,90E-04
280000,E-01  1740,64E-02  1540,45E-04
300000,E-01  1561,25E-02  2036,30E-04
320000,E-01  1392,09E-02  2352,32E-04
340000,E-01  1225,72E-02  2653,41E-04
360000,E-01  1064,78E-02  3084,36E-04
380000,E-01  9093,45E-03  3733,36E-04
400000,E-01  7529,39E-03  4696,03E-04
420000,E-01  5846,79E-03  6583,78E-04
440000,E-01  3700,17E-03  7560,94E-04
460000,E-01  1309,47E-03  4382,54E-04
480000,E-01  1467,88E-04  6892,79E-05
500000,E-01  2462,30E-06  2202,42E-06
520000,E-01  0000,00E+00  0000,00E+00
540000,E-01  0000,00E+00  0000,00E+00
560000,E-01  0000,00E+00  0000,00E+00
580000,E-01  0000,00E+00  0000,00E+00
600000,E-01  0000,00E+00  0000,00E+00
620000,E-01  0000,00E+00  0000,00E+00
640000,E-01  0000,00E+00  0000,00E+00
660000,E-01  0000,00E+00  0000,00E+00
680000,E-01  0000,00E+00  0000,00E+00
700000,E-01  0000,00E+00  0000,00E+00
720000,E-01  0000,00E+00  0000,00E+00
740000,E-01  0000,00E+00  0000,00E+00
760000,E-01  0000,00E+00  0000,00E+00
780000,E-01  0000,00E+00  0000,00E+00
800000,E-01  0000,00E+00  0000,00E+00
820000,E-01  0000,00E+00  0000,00E+00
840000,E-01  0000,00E+00  0000,00E+00
860000,E-01  0000,00E+00  0000,00E+00
880000,E-01  0000,00E+00  0000,00E+00
900000,E-01  0000,00E+00  0000,00E+00
920000,E-01  0000,00E+00  0000,00E+00
940000,E-01  0000,00E+00  0000,00E+00
960000,E-01  0000,00E+00  0000,00E+00
980000,E-01  0000,00E+00  0000,00E+00
100000,E+00  0000,00E+00  0000,00E+00
102000,E+00  0000,00E+00  0000,00E+00
104000,E+00  0000,00E+00  0000,00E+00
106000,E+00  0000,00E+00  0000,00E+00
108000,E+00  0000,00E+00  0000,00E+00
110000,E+00  0000,00E+00  0000,00E+00
112000,E+00  0000,00E+00  0000,00E+00
114000,E+00  0000,00E+00  0000,00E+00
116000,E+00  0000,00E+00  0000,00E+00
118000,E+00  0000,00E+00  0000,00E+00
120000,E+00  0000,00E+00  0000,00E+00
122000,E+00  0000,00E+00  0000,00E+00
124000,E+00  0000,00E+00  0000,00E+00
126000,E+00  0000,00E+00  0000,00E+00
128000,E+00  0000,00E+00  0000,00E+00
130000,E+00  0000,00E+00  0000,00E+00
132000,E+00  0000,00E+00  0000,00E+00
134000,E+00  0000,00E+00  0000,00E+00
136000,E+00  0000,00E+00  0000,00E+00
138000,E+00  0000,00E+00  0000,00E+00
140000,E+00  0000,00E+00  0000,00E+00
142000,E+00  0000,00E+00  0000,00E+00
144000,E+00  0000,00E+00  0000,00E+00
146000,E+00  0000,00E+00  0000,00E+00
148000,E+00  0000,00E+00  0000,00E+00
150000,E+00  0000,00E+00  0000,00E+00
152000,E+00  0000,00E+00  0000,00E+00
154000,E+00  0000,00E+00  0000,00E+00
156000,E+00  0000,00E+00  0000,00E+00
158000,E+00  0000,00E+00  0000,00E+00
160000,E+00  0000,00E+00  0000,00E+00
162000,E+00  0000,00E+00  0000,00E+00
164000,E+00  0000,00E+00  0000,00E+00
166000,E+00  0000,00E+00  0000,00E+00
168000,E+00  0000,00E+00  0000,00E+00
170000,E+00  0000,00E+00  0000,00E+00
172000,E+00  0000,00E+00  0000,00E+00
174000,E+00  0000,00E+00  0000,00E+00
176000,E+00  0000,00E+00  0000,00E+00
178000,E+00  0000,00E+00  0000,00E+00
180000,E+00  0000,00E+00  0000,00E+00
182000,E+00  0000,00E+00  0000,00E+00
184000,E+00  0000,00E+00  0000,00E+00
186000,E+00  0000,00E+00  0000,00E+00
188000,E+00  0000,00E+00  0000,00E+00
190000,E+00  0000,00E+00  0000,00E+00
192000,E+00  0000,00E+00  0000,00E+00
194000,E+00  0000,00E+00  0000,00E+00
196000,E+00  0000,00E+00  0000,00E+00
