====== He (1470keV) into Skin                   =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 1470 keV
============= TARGET MATERIAL ======================================
Layer 1 : Skin_Human (W&W type 1)
Layer Width = 20000,E+01 A ;
  Layer # 1- Density = 10.56E22 atoms/cm3 = 1.09 g/cm3
  Layer # 1-  H = 61.7 Atomic Percent = 10.0 Mass Percent
  Layer # 1-  C = 12.9 Atomic Percent = 25.0 Mass Percent
  Layer # 1-  N = 2.04 Atomic Percent = 4.60 Mass Percent
  Layer # 1-  O = 23.1 Atomic Percent = 59.4 Mass Percent
  Layer # 1-  S = 5.82 Atomic Percent = .300 Mass Percent
  Layer # 1- Cl = .052 Atomic Percent = .300 Mass Percent
  Layer # 1- Na = .054 Atomic Percent = .200 Mass Percent
  Layer # 1-  K = 1.59 Atomic Percent = .100 Mass Percent
====================================================================
 Total Ions calculated =005009,47
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
200001,E-02  2074,18E-02  1479,80E-05
400001,E-02  2094,96E-02  7025,05E-06
600001,E-02  2120,58E-02  4013,38E-06
800001,E-02  2150,13E-02  1830,66E-05
100000,E-01  2180,76E-02  7056,48E-06
120000,E-01  2210,17E-02  7771,63E-06
140000,E-01  2242,93E-02  6072,16E-06
160000,E-01  2272,97E-02  2995,31E-06
180000,E-01  2303,40E-02  7937,22E-06
200000,E-01  2336,14E-02  7420,19E-06
220000,E-01  2363,43E-02  7022,71E-06
240000,E-01  2399,42E-02  9078,30E-06
260000,E-01  2431,42E-02  7533,73E-06
280000,E-01  2459,45E-02  5030,80E-05
300000,E-01  2486,12E-02  9892,86E-06
320000,E-01  2512,13E-02  1113,57E-05
340000,E-01  2530,85E-02  3391,62E-05
360000,E-01  2541,61E-02  2060,77E-05
380000,E-01  2544,79E-02  2174,16E-05
400000,E-01  2540,34E-02  9722,04E-06
420000,E-01  2516,68E-02  3104,12E-05
440000,E-01  2476,78E-02  2635,24E-05
460000,E-01  2418,83E-02  3694,30E-05
480000,E-01  2341,36E-02  2553,03E-05
500000,E-01  2241,93E-02  2452,15E-05
520000,E-01  2127,84E-02  2631,60E-05
540000,E-01  1987,64E-02  6643,00E-05
560000,E-01  1830,21E-02  4369,58E-05
580000,E-01  1668,04E-02  4989,61E-05
600000,E-01  1497,92E-02  5789,65E-05
620000,E-01  1316,86E-02  6505,79E-05
640000,E-01  1137,93E-02  9599,43E-05
660000,E-01  9611,56E-03  1240,72E-04
680000,E-01  7708,39E-03  1715,97E-04
700000,E-01  5602,24E-03  2674,17E-04
720000,E-01  2774,65E-03  2957,09E-04
740000,E-01  4840,31E-04  8993,06E-05
760000,E-01  1485,56E-05  3559,04E-06
780000,E-01  0000,00E+00  0000,00E+00
800000,E-01  0000,00E+00  0000,00E+00
820000,E-01  0000,00E+00  0000,00E+00
840000,E-01  0000,00E+00  0000,00E+00
860000,E-01  0000,00E+00  0000,00E+00
880000,E-01  0000,00E+00  0000,00E+00
900000,E-01  0000,00E+00  0000,00E+00
920000,E-01  0000,00E+00  0000,00E+00
940000,E-01  0000,00E+00  0000,00E+00
960000,E-01  0000,00E+00  0000,00E+00
980000,E-01  0000,00E+00  0000,00E+00
100000,E+00  0000,00E+00  0000,00E+00
102000,E+00  0000,00E+00  0000,00E+00
104000,E+00  0000,00E+00  0000,00E+00
106000,E+00  0000,00E+00  0000,00E+00
108000,E+00  0000,00E+00  0000,00E+00
110000,E+00  0000,00E+00  0000,00E+00
112000,E+00  0000,00E+00  0000,00E+00
114000,E+00  0000,00E+00  0000,00E+00
116000,E+00  0000,00E+00  0000,00E+00
118000,E+00  0000,00E+00  0000,00E+00
120000,E+00  0000,00E+00  0000,00E+00
122000,E+00  0000,00E+00  0000,00E+00
124000,E+00  0000,00E+00  0000,00E+00
126000,E+00  0000,00E+00  0000,00E+00
128000,E+00  0000,00E+00  0000,00E+00
130000,E+00  0000,00E+00  0000,00E+00
132000,E+00  0000,00E+00  0000,00E+00
134000,E+00  0000,00E+00  0000,00E+00
136000,E+00  0000,00E+00  0000,00E+00
138000,E+00  0000,00E+00  0000,00E+00
140000,E+00  0000,00E+00  0000,00E+00
142000,E+00  0000,00E+00  0000,00E+00
144000,E+00  0000,00E+00  0000,00E+00
146000,E+00  0000,00E+00  0000,00E+00
148000,E+00  0000,00E+00  0000,00E+00
150000,E+00  0000,00E+00  0000,00E+00
152000,E+00  0000,00E+00  0000,00E+00
154000,E+00  0000,00E+00  0000,00E+00
156000,E+00  0000,00E+00  0000,00E+00
158000,E+00  0000,00E+00  0000,00E+00
160000,E+00  0000,00E+00  0000,00E+00
162000,E+00  0000,00E+00  0000,00E+00
164000,E+00  0000,00E+00  0000,00E+00
166000,E+00  0000,00E+00  0000,00E+00
168000,E+00  0000,00E+00  0000,00E+00
170000,E+00  0000,00E+00  0000,00E+00
172000,E+00  0000,00E+00  0000,00E+00
174000,E+00  0000,00E+00  0000,00E+00
176000,E+00  0000,00E+00  0000,00E+00
178000,E+00  0000,00E+00  0000,00E+00
180000,E+00  0000,00E+00  0000,00E+00
182000,E+00  0000,00E+00  0000,00E+00
184000,E+00  0000,00E+00  0000,00E+00
186000,E+00  0000,00E+00  0000,00E+00
188000,E+00  0000,00E+00  0000,00E+00
190000,E+00  0000,00E+00  0000,00E+00
192000,E+00  0000,00E+00  0000,00E+00
194000,E+00  0000,00E+00  0000,00E+00
196000,E+00  0000,00E+00  0000,00E+00
198000,E+00  0000,00E+00  0000,00E+00
200000,E+00  0000,00E+00  0000,00E+00
